# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Al/Fe]	[Ba/Fe]	[Ca/Fe]	[Ce/Fe]	[C/Fe]	[Co/Fe]	[Cr/Fe]	[Eu/Fe]	[Mg/Fe]	[Mn/Fe]	[N/Fe]	[Ni/Fe]	[O/Fe]	[Si/Fe]	[Sr/Fe]	[Ti/Fe]	[V/Fe]	[Y/Fe]	[Zr/Fe]	log-e(Li)
2MASSJ00114258+0109386	C.L.Kielty+,MNRAS, 471, 404, 2017	00 11 42.59	+01 09 38.7	4165	-0.14	-2.18	-2.18					0.91				0.19		1.08		0.17	0.05						
2MASSJ02031860-7930291	H.R.Jacobson+,ApJ, 807, 171, 2015	02 03 18.60	-79 30 29.1	4720	1.1	-3.03	-3.03	-0.68	0.07	0.38		-0.52	0.02	-0.31	0.36	0.52	-0.46		-0.14			-0.23	0.31				
2MASSJ03265389+0202281	M.K.Mardini+,ApJ, 882, 27, 2019	03 26 53.88	+02 02 28.1	5080	2.03	-3.11	-3.11		-0.55	0.29	-0.35	0.24	0.53	-0.02	-0.01	0.62	-0.25		0.27			-0.41	0.4	-0.11	-0.1	0.17	
2MASSJ09380777-0600392	H.R.Jacobson+,ApJ, 807, 171, 2015	09 38 07.77	-06 00 39.2	5890	2.65	-2.68	-2.68	-1.06	<-0.9	0.26		<1	0.1	-0.32	<0.76	0.22	-0.06		-0.28		-0.42	-0.61	0.29				
2MASSJ09544277+5246414	E.M.Holmbeck+,ApJ, 859, L24, 2018	09 54 42.77	+52 46 41.4	4340	0.41	-2.99	-2.99	-0.4	0.35	0.25	0.58	-0.5	-0.02	-0.31	1.28	0.64	-0.8		0.03			1	0.01	0	-0.01	0.28	
2MASSJ10242264-2904203	H.R.Jacobson+,ApJ, 807, 171, 2015	10 24 22.64	-29 04 20.3	4720	1.3	-3.13	-3.13		-0.41	0.41		-0.05	-0.16	-0.16	<1.21	0.43	-0.49		0.1			-0.28	0.26				
2MASSJ10275895-3006391	H.R.Jacobson+,ApJ, 807, 171, 2015	10 27 58.95	-30 06 39.1	4648	1.3	-2.96	-2.96		-0.52	0.38			0.74	-0.3	<0.64	0.35			0.16			-0.41	0.26				
2MASSJ10283035-2951115	H.R.Jacobson+,ApJ, 807, 171, 2015	10 28 30.35	-29 51 11.5	4720	1.1	-2.38	-2.39			0.38				-0.78		0.38			-0.24				0.11				
2MASSJ10294248-0103238	H.R.Jacobson+,ApJ, 807, 171, 2015	10 29 42.48	-01 03 23.8	4665	1.1	-2.39	-2.39	-1.11	-0.27	0.39		-0.34	-0.03	-0.25	0.22	0.38	-0.67		-0.03		0.49	-0.75	0.15				
2MASSJ11084718+2530472	M.K.Mardini+,ApJ, 882, 27, 2019	11 08 47.18	+25 30 47.2	5003	2.05	-2.72	-2.72		-0.22	0.19	-0.96	0.28	-0.13	-0.43	-0.15	0.38	-0.48		-0.04			-0.21	0.09	-0.54	-0.63	-0.64	
2MASSJ12473823-0814340	C.L.Kielty+,MNRAS, 471, 404, 2017	12 47 38.24	-08 14 34.1	4317	0.79	-2.24	-2.24					0.87						0		1.05							
2MASSJ12564239+3440589	M.K.Mardini+,ApJ, 882, 27, 2019	12 56 42.41	+34 40 58.9	5215	1.74	-2.76	-2.76		-0.67	0.19	-0.39	0.37	0.15	-0.25	0.14	0.25	-0.35		0.24			-0.57	0.32	-0.16	-0.5		
2MASSJ14131567+1727207	M.K.Mardini+,ApJ, 882, 27, 2019	14 13 15.67	+17 27 20.8	4914	1.25	-3	-3		-0.27	0.35	-0.2	-0.29	0.23	0.12	0.13	0.36	-0.1		-0.02			0.07	0.32	-0.05	-0.71		
2MASSJ15312547+4220551	C.L.Kielty+,MNRAS, 471, 404, 2017	15 31 25.48	+42 20 55.1	4068	-0.15	-2.08	-2.08			-0.67		0.83				-0.08		1.05		0.03	-0.39						
2MASSJ16303581+0953170	M.K.Mardini+,ApJ, 882, 27, 2019	16 30 35.82	+09 53 17.0	4783	1.02	-2.94	-2.94		-0.19	0.21	-0.04	0.64	0.56	-0.03	0.07	0.56	-0.26	0.88	0.06			-0.66	0.21	0.11	-0.52	0.04	
