# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Na/Fe]
2MASSJ00114258+0109386	C.L.Kielty+,MNRAS, 471, 404, 2017	00 11 42.59	+01 09 38.7	4165	-0.14	-2.18	-2.18	
2MASSJ02031860-7930291	H.R.Jacobson+,ApJ, 807, 171, 2015	02 03 18.60	-79 30 29.1	4720	1.1	-3.03	-3.03	
2MASSJ03265389+0202281	M.K.Mardini+,ApJ, 882, 27, 2019	03 26 53.88	+02 02 28.1	5080	2.03	-3.11	-3.11	0.3
2MASSJ09380777-0600392	H.R.Jacobson+,ApJ, 807, 171, 2015	09 38 07.77	-06 00 39.2	5890	2.65	-2.68	-2.68	-0.23
2MASSJ09544277+5246414	E.M.Holmbeck+,ApJ, 859, L24, 2018	09 54 42.77	+52 46 41.4	4340	0.41	-2.99	-2.99	0.28
2MASSJ10242264-2904203	H.R.Jacobson+,ApJ, 807, 171, 2015	10 24 22.64	-29 04 20.3	4720	1.3	-3.13	-3.13	0.43
2MASSJ10275895-3006391	H.R.Jacobson+,ApJ, 807, 171, 2015	10 27 58.95	-30 06 39.1	4648	1.3	-2.96	-2.96	0.51
2MASSJ10283035-2951115	H.R.Jacobson+,ApJ, 807, 171, 2015	10 28 30.35	-29 51 11.5	4720	1.1	-2.38	-2.39	0.62
2MASSJ10294248-0103238	H.R.Jacobson+,ApJ, 807, 171, 2015	10 29 42.48	-01 03 23.8	4665	1.1	-2.39	-2.39	0.27
2MASSJ11084718+2530472	M.K.Mardini+,ApJ, 882, 27, 2019	11 08 47.18	+25 30 47.2	5003	2.05	-2.72	-2.72	0.02
2MASSJ12473823-0814340	C.L.Kielty+,MNRAS, 471, 404, 2017	12 47 38.24	-08 14 34.1	4317	0.79	-2.24	-2.24	
2MASSJ12564239+3440589	M.K.Mardini+,ApJ, 882, 27, 2019	12 56 42.41	+34 40 58.9	5215	1.74	-2.76	-2.76	0.16
2MASSJ14131567+1727207	M.K.Mardini+,ApJ, 882, 27, 2019	14 13 15.67	+17 27 20.8	4914	1.25	-3	-3	0.34
2MASSJ15312547+4220551	C.L.Kielty+,MNRAS, 471, 404, 2017	15 31 25.48	+42 20 55.1	4068	-0.15	-2.08	-2.08	
2MASSJ16303581+0953170	M.K.Mardini+,ApJ, 882, 27, 2019	16 30 35.82	+09 53 17.0	4783	1.02	-2.94	-2.94	0.2
2MASSJ16334467-1343201	C.L.Kielty+,MNRAS, 471, 404, 2017	16 33 44.67	-13 43 20.1	4288	0.23	-2.1	-2.1	
2MASSJ18082002-5104378	J.Melendez+,AAP, 585, L5, 2016	18 08 20.03	-51 04 37.9	5440	3	-4.07	-4.07	0.22
2MASSJ21330683+1209406	C.L.Kielty+,MNRAS, 471, 404, 2017	21 33 06.83	+12 09 40.6	4220	0.39	-2.01	-2.01	
2MASSJ22163596+0246171	M.K.Mardini+,ApJ, 882, 27, 2019	22 16 35.96	+02 46 17.0	4945	1.53	-2.52	-2.53	0.05
2MASSJ23203653-3637223	H.R.Jacobson+,ApJ, 807, 171, 2015	23 20 36.53	-36 37 22.3	5134	2	-2.63	-2.63	0.62
2MASSJ23261426-3719492	H.R.Jacobson+,ApJ, 807, 171, 2015	23 26 14.26	-37 19 49.2	5170	2.3	-2.55	-2.55	0.36
2MJ11444480-1128167	C.M.Sakari+,ApJ, 868, 110, 2018	11 44 44.79	-11 28 16.8	5006	2.46	-2.42	-2.42	
2MJ12091322-1415313	C.M.Sakari+,ApJ, 868, 110, 2018	12 09 13.22	-14 15 31.4	4370	0.56	-2.11	-2.11	
2MJ13072823-0931148	C.M.Sakari+,ApJ, 868, 110, 2018	13 07 28.32	-09 31 15.6	4647	1.16	-1.98	-2	-0.1
2MJ13254554-1747547	C.M.Sakari+,ApJ, 868, 110, 2018	13 25 45.54	-17 47 54.7	4588	0.83	-2.32	-2.32	
2MJ13402720-0016031	C.M.Sakari+,ApJ, 868, 110, 2018	13 40 27.12	-00 16 04.8	4568	0.9	-2.43	-2.43	0.15
2MJ13431929-2358139	C.M.Sakari+,ApJ, 868, 110, 2018	13 43 19.30	-23 58 13.9	4777	1.13	-2.47	-2.47	
2MJ15211026-0607566	C.M.Sakari+,ApJ, 868, 110, 2018	15 21 10.32	-06 07 58.8	4707	1.33	-2	-2	-0.06
2MJ22562536-0719562	C.M.Sakari+,ApJ, 868, 110, 2018	22 56 25.44	-07 19 55.2	4558	1.2	-2.26	-2.26	
BD+01_2341p	E.Arnone+,AAP, 430, 507, 2005			6260	3.8		-2.88	
BD+01_2341p	C.Charbonnel+,AAP, 442, 961, 2005			6367	3.85	-2.79	-2.79	
BD+01_2341p	J.A.Rich+,ApJ, 701, 1519, 2009			6402	4.24	-2.67	-2.67	
BD+01_3597	C.Charbonnel+,AAP, 442, 961, 2005	18 07 56.60	+01 52 32.7	6504	4	-2.4	-2.4	
BD+01_3597	E.Caffau+,AAP, 441, 533, 2005	18 07 56.60	+01 52 32.7					
BD+01_3597	J.Melendez+,AAP, 515, L3, 2010	18 07 56.60	+01 52 32.7	6289	4.04	-1.87		
BD+02_263	E.Caffau+,AAP, 441, 533, 2005	01 45 13.81	+03 30 49.3	5754	4.87	-2.17	-2.17	
BD+02_3375	R.G.Gratton+,AAP, 404, 187, 2003	17 39 45.59	+02 24 59.6	5917	4.19	-2.32	-2.38	
BD+02_3375	D.K.Lai+,ApJ, 667, 1185, 2007	17 39 45.59	+02 24 59.6	5926	4.63	-2.25	-2.08	
BD+02_3375	A.M.Boesgaard+,AJ, 117, 492, 1999	17 39 45.59	+02 24 59.6	5949	4.17	-2.3	-2.13	
BD+02_3375	J.Melendez+,ApJ, 642, 1082, 2006	17 39 45.59	+02 24 59.6	6045	4.18	-2	-2.24	
BD+02_3375	J.A.Rich+,ApJ, 701, 1519, 2009	17 39 45.59	+02 24 59.6	5800	4.07	-2.39	-2.39	
BD+02_3375	T.V.Mishenina+,AAP, 396, 189, 2002	17 39 45.59	+02 24 59.6				-2.26	
BD+02_3375	T.V.Mishenina+,AAP, 370, 951, 2001	17 39 45.59	+02 24 59.6	5960	3.6	-2.25	-2.26	
BD+02_3375	G.S.Bai+,AAP, 425, 671, 2004	17 39 45.59	+02 24 59.6	5926	4.2	-2.25	-2.25	-0.2
BD+02_3375	J.P.Fulbright+,AJ, 120, 1841, 2000	17 39 45.59	+02 24 59.6	5950	3.9	-2.2	-2.3	
BD+02_3375	C.Charbonnel+,AAP, 442, 961, 2005	17 39 45.59	+02 24 59.6	5885	4.5	-2.32	-2.32	
BD+02_3375	E.Caffau+,AAP, 441, 533, 2005	17 39 45.59	+02 24 59.6	6018	4.2	-2.37	-2.37	
BD+02_3375	A.E.GarciaPerez+,AAP, 504, 213, 2009	17 39 45.59	+02 24 59.6	5855	4.16	-2.19	-2.19	
BD+02_3375	J.Melendez+,AAP, 515, L3, 2010	17 39 45.59	+02 24 59.6	6163	4.13	-2.24	-2.24	
BD+03_2782	J.P.Fulbright+,ApJ, 595, 1154, 2003	13 29 55.90	+02 45 26.0	4500	1.87	-2	-2.2	
BD+03_2782	B.W.Carney+,AJ, 125, 293, 2003	13 29 55.90	+02 45 26.0	4500	1.3	-2.01	-2.01	
BD+03_2782	D.L.Burris+,ApJ, 544, 302, 2000	13 29 55.90	+02 45 26.0	4600	1.5	-2		
BD+03_740	J.G.Cohen+,ApJ, 778, 56, 2013			6355	4	-2.69		
BD+03_740	J.A.Rich+,ApJ, 701, 1519, 2009	05 01 16.53	+04 06 38.3	6110	3.64	-2.89	-2.89	
BD+03_740	L.Mashonkina+,ApJ, 679, 1549, 2008	05 01 16.53	+04 06 38.3	6340	3.9	-2.65	-2.65	-0.29
BD+03_740	G.Israelian+,ApJ, 551, 833, 2001	05 01 16.53	+04 06 38.3	6135	4	-2.93	-2.93	
BD+03_740	E.Arnone+,AAP, 430, 507, 2005	05 01 16.53	+04 06 38.3	6240	3.7		-2.84	
BD+03_740	J.Melendez+,AAP, 515, L3, 2010	05 01 16.53	+04 06 38.3	6419	3.97	-2.71	-2.71	
BD+03_740	A.M.Boesgaard+,ApJ, 633, L125, 2005	05 01 16.53	+04 06 38.3	6227		-2.81	-2.8	
BD+03_740	I.U.Roederer+,ApJ, 860, 125, 2018	05 01 16.62	+04 06 37.02	6351	3.97	-2.9	-2.89	
BD+03_740	J.G.Cohen+,AJ, 124, 470, 2002	05 01 16.53	+04 06 38.3	6355	4	-2.69		
BD+03_740	A.M.Boesgaard+,AJ, 117, 492, 1999	05 01 16.53	+04 06 38.3	6227	3.75	-2.81	-2.64	
BD+03_740	R.Smiljanic+,AAP, 646, A70, 2021	05 01 16.63	+04 06 37.08	6400	4	-2.72	-2.72	
BD+03_740	E.Carretta+,AJ, 124, 481, 2002	05 01 16.53	+04 06 38.3	6355	4	-2.7	-2.68	
BD+03_740	J.G.Cohen+,ApJ, 612, 1107, 2004	05 01 16.53	+04 06 38.3	6355	4			
BD+03_740	J.P.Fulbright+,AJ, 120, 1841, 2000	05 01 16.53	+04 06 38.3	6075	3.8	-2.7	-2.82	-0.13
BD+03_740	C.Charbonnel+,AAP, 442, 961, 2005	05 01 16.53	+04 06 38.3	6346	4	-2.77	-2.77	
BD+03_740	D.K.Lai+,ApJ, 681, 1524, 2008	05 01 16.53	+04 06 38.3	6557	4.28	-2.75	-2.71	
BD+03_740	M.Asplund+,ApJ, 644, 229, 2006	05 01 16.53	+04 06 38.3	6266	4.04	-2.65	-2.65	
BD+04_2466	L.Zhang+,ApJ, 706, 1095, 2009	11 26 49.19	+03 51 51.6	5115	1.87	-1.92		0.08
BD+04_2466	M.N.Ishigaki+,ApJ, 753, 64, 2012	11 26 49.19	+03 51 51.6	5223	2.02	-1.95		
BD+04_2466	M.Ishigaki+,PASJ, 62, 143, 2010	11 26 49.19	+03 51 51.6	5065	1.82	-2.1	-2.1	0.05
BD+04_2466	D.L.Burris+,ApJ, 544, 302, 2000	11 26 49.19	+03 51 51.6	5000	1	-1.8		
BD+04_2621	M.N.Ishigaki+,ApJ, 753, 64, 2012	12 28 44.60	+04 01 27.0	4754	1.63	-2.37	-2.37	
BD+04_2621	J.A.Johnson+,ApJ, 579, 616, 2002	12 28 44.60	+04 01 27.0				-2.34	
BD+04_2621	M.Ishigaki+,PASJ, 62, 143, 2010	12 28 44.60	+04 01 27.0	4453	0.9	-2.68	-2.69	-0.11
BD+04_2621	J.A.Johnson+,ApJ, 554, 888, 2001	12 28 44.60	+04 01 27.0	4650	1.2	-2.35	-2.35	
BD+04_2621	J.A.Johnson+,ApJS, 139, 219, 2002	12 28 44.60	+04 01 27.0	4650	1.2	-2.35	-2.5	
BD+05_3098	J.A.Johnson+,ApJ, 579, 616, 2002	15 52 17.26	+05 17 44.4				-2.56	
BD+05_3098	J.A.Johnson+,ApJ, 554, 888, 2001	15 52 17.26	+05 17 44.4	4700	1.3	-2.55	-2.57	
BD+05_3098	B.W.Carney+,AJ, 125, 293, 2003	15 52 17.26	+05 17 44.4	4930	2	-2.4	-2.4	
BD+05_3098	J.A.Johnson+,ApJS, 139, 219, 2002	15 52 17.26	+05 17 44.4	4700	1.3	-2.55	-2.72	
BD+06_2613	C.Charbonnel+,AAP, 442, 961, 2005			5319	3	-2.32	-2.32	
BD+06_648	W.Aoki+,PASJ, 60, L7, 2008			4400	0.9	-2.1	-2.14	
BD+06_648	J.Melendez+,ApJ, 556, 858, 2001							
BD+06_648	D.L.Burris+,ApJ, 544, 302, 2000			4500	1.1	-2		
BD+06_648	M.Aoki+,ApJ, 837, 8, 2017			4400	0.9	-2.11	-2.11	
BD+08_2856	J.A.Johnson+,ApJ, 579, 616, 2002	14 23 58.10	+08 01 33.0					
BD+08_2856	J.A.Johnson+,ApJ, 554, 888, 2001	14 23 58.10	+08 01 33.0	4550	0.7	-2		
BD+08_2856	C.J.Hansen+,AAP, 545, A31, 2012	14 23 58.10	+08 01 33.0	4600	0.8	-2.09	-2.09	
BD+08_2856	B.W.Carney+,AJ, 125, 293, 2003	14 23 58.10	+08 01 33.0	4480	1.1	-2.31	-2.31	
BD+08_2856	J.A.Johnson+,ApJS, 139, 219, 2002	14 23 58.10	+08 01 33.0	4550	0.7	-2	-2.1	-0.03
BD+09_2190	E.Arnone+,AAP, 430, 507, 2005	09 29 15.56	+08 38 00.5	6250	3.6		-2.83	
BD+09_2190	C.Charbonnel+,AAP, 442, 961, 2005	09 29 15.56	+08 38 00.5	6426	3.85	-2.88	-2.88	
BD+09_2190	C.J.Hansen+,AAP, 545, A31, 2012	09 29 15.56	+08 38 00.5	6450	4	-2.6	-2.6	
BD+09_2190	J.A.Rich+,ApJ, 701, 1519, 2009	09 29 15.56	+08 38 00.5	6008	3.85	-3	-3	
BD+09_2190	R.Smiljanic+,AAP, 646, A70, 2021	09 29 15.57	+08 38 00.30	6480	4.16	-2.7	-2.7	
BD+09_2190	M.Asplund+,ApJ, 644, 229, 2006	09 29 15.56	+08 38 00.5	6392	4.09	-2.66	-2.66	
BD+09_2190	J.Melendez+,AAP, 515, L3, 2010	09 29 15.56	+08 38 00.5	6479	4.01	-2.64	-2.64	
BD+09_2870	L.Zhang+,ApJ, 706, 1095, 2009	14 16 29.90	+08 27 53.0	4300	0.51	-2.73	-2.56	0.03
BD+09_2870	M.N.Ishigaki+,ApJ, 753, 64, 2012	14 16 29.90	+08 27 53.0	4632	1.3	-2.37	-2.37	
BD+09_2870	J.P.Fulbright+,AJ, 120, 1841, 2000	14 16 29.90	+08 27 53.0	4600	1.1	-2.3	-2.39	0.04
BD+09_2870	M.Ishigaki+,PASJ, 62, 143, 2010	14 16 29.90	+08 27 53.0	4285	0.29	-2.7	-2.69	0.02
BD+09_2870	B.W.Carney+,AJ, 125, 293, 2003	14 16 29.90	+08 27 53.0	4600	1.4	-2.37	-2.37	
BD+09_2870	D.L.Burris+,ApJ, 544, 302, 2000	14 16 29.90	+08 27 53.0	4600	1.4	-2.2	-2.2	
BD+09_3223	J.A.Johnson+,ApJ, 579, 616, 2002	16 33 35.58	+09 06 16.3				-2.11	
BD+09_3223	J.A.Johnson+,ApJ, 554, 888, 2001	16 33 35.58	+09 06 16.3	5250	1.65	-2.1	-2.12	
BD+09_3223	B.W.Carney+,AJ, 125, 293, 2003	16 33 35.58	+09 06 16.3	5310	2.4	-2.41	-2.41	
BD+09_3223	J.A.Johnson+,ApJS, 139, 219, 2002	16 33 35.58	+09 06 16.3	5250	1.65	-2.1	-2.27	0.74
BD+09_3223	D.L.Burris+,ApJ, 544, 302, 2000	16 33 35.58	+09 06 16.3	5350	2	-2.2	-2.09	
BD+09_352	C.Charbonnel+,AAP, 442, 961, 2005	02 41 13.64	+09 46 12.1	6057	3.85	-2.25	-2.25	
BD+09_352	E.Caffau+,AAP, 441, 533, 2005	02 41 13.64	+09 46 12.1	6020	4.2	-2.09	-2.09	
BD+09_352	J.Melendez+,AAP, 515, L3, 2010	02 41 13.64	+09 46 12.1	6145	4.32	-2.05	-2.05	
BD+10_2495	M.N.Ishigaki+,ApJ, 753, 64, 2012	12 59 19.90	+09 14 36.0	4973	2.25	-2.02	-2.02	
BD+10_2495	M.Ishigaki+,PASJ, 62, 143, 2010	12 59 19.90	+09 14 36.0	4819	1.92	-2.17	-2.17	-0.07
BD+10_2495	I.U.Roederer+,ApJ, 711, 573, 2010	12 59 19.90	+09 14 36.0	4710	1.3	-2.45	-2.31	-0.04
BD+10_2495	I.U.Roederer+,AJ, 147, 136, 2014	12 59 19.90	+09 14 36.0	4890	1.85	-2.14	-2.16	-0.19
BD+10_2495	L.Zhang+,ApJ, 706, 1095, 2009	12 59 19.90	+09 14 36.0	4775	1.9	-2.1		-0.02
