# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Na/Fe]
2M02593571-1731458	a+,AAP, 643, 4, 2020			4472	2.09	-0.96	-0.92	
2M06572697+5543115	a+,AAP, 643, 4, 2020			4776	2.22	-1.21	-1.22	
2M13535604+4437076	T.Masseron+,ApJ, 904, L1, 2020	13 53 56.0537786088	+44 37 07.696366212	5143	2.5	-1.07	-1.07	0.25
2M14063545+2734116	a+,AAP, 643, 4, 2020			4859	2.17	-1.32	-1.34	
2M15053060+4211466	a+,AAP, 643, 4, 2020			4689	1.72	-1.52	-1.56	
2M15532396-3509322	a+,AAP, 643, 4, 2020			4766	2.12	-1.53	-1.58	
2M15535622+2237419	a+,AAP, 643, 4, 2020			4284	1.27	-1.26	-1.29	
2M16035902+0703353	a+,AAP, 643, 4, 2020			5095	2.71	-1.34	-1.34	
2M16055435+3003432	a+,AAP, 643, 4, 2020			4469	1.34	-1.65	-1.68	
2M16102218-2158014	a+,AAP, 643, 4, 2020			4342	1.55	-1.24	-1.26	
2M16112935-2000538	a+,AAP, 643, 4, 2020			4871	2.35	-1.2	-1.26	
2M16282719-0050428	a+,AAP, 643, 4, 2020			4433	1.95	-1.05	-1.07	
2M16443329+3624504	a+,AAP, 643, 4, 2020			4816	2.06	-1.36	-1.44	
2M17254242-1331201	a+,AAP, 643, 4, 2020			4485	1.99	-0.97	-0.99	
2M17254298-2106351	a+,AAP, 643, 4, 2020			4740	1.89	-1.52	-1.62	
2M17313399-2640506	a+,AAP, 643, 4, 2020			3792	0.62	-0.93	-0.98	
2M17343682-2654206	a+,AAP, 643, 4, 2020			4511	1.98	-0.98	-1.02	
2M17425767-2803437	a+,AAP, 643, 4, 2020			4569	1.96	-0.85	-0.94	
2M17431262-2843363	a+,AAP, 643, 4, 2020			4149	0.16	-0.72	-0.76	
2M17461523-3407127	a+,AAP, 643, 4, 2020			4559	1.93	-1.22	-1.3	
2M17475763-2913591	a+,AAP, 643, 4, 2020			3837	0.06	-1.04	-0.98	
2M17480799-2712083	a+,AAP, 643, 4, 2020			3913	1.11	-0.74	-0.87	
2M17484544-2915516	a+,AAP, 643, 4, 2020			4241	1.53	-0.82	-0.9	
2M18035017-2552334	a+,AAP, 643, 4, 2020			4190	1.59	-0.88	-0.9	
2M18041915-3703227	a+,AAP, 643, 4, 2020			3808	0.33	-1.07	-0.99	
2M18490114-3042332	a+,AAP, 643, 4, 2020			4426	1.79	-0.96	-0.97	
2M18524618-2520372	a+,AAP, 643, 4, 2020			4518	2.07	-1.02	-1.02	
2M19010991-2121082	a+,AAP, 643, 4, 2020			4368	1.39	-1.33	-1.34	
2M21372238+1244305	a+,AAP, 643, 4, 2020			5062	2.86	-0.93	-0.9	
2M22015198-1141479	a+,AAP, 643, 4, 2020			4269	1.57	-1.25	-1.23	
2M22045404-1148287	T.Masseron+,ApJ, 904, L1, 2020	22 04 54.0447500184	-11 48 28.717892748	4578	1.64	-1.26	-1.26	0.22
2MASSJ02121851+4923143	C.L.Kielty+,MNRAS, 471, 404, 2017	02 12 18.51	+49 23 14.4	4593	1.61	-1.82	-1.82	
2MASSJ03084611-4747083	H.R.Jacobson+,ApJ, 807, 171, 2015	03 08 46.11	-47 47 08.3	5071	2.15	-1.56	-1.56	0.32
2MASSJ05352696-0510173	C.L.Kielty+,MNRAS, 471, 404, 2017	05 35 26.97	-05 10 17.3	4591	2.34	-1.9	-1.9	
2MASSJ11584435+5518120	C.L.Kielty+,MNRAS, 471, 404, 2017	11 58 44.36	+55 18 12.1	4555	1.29	-1.8	-1.8	
2MASSJ12451043+1217401	J.G.Fernandez-Trincado+,AAP, 631, A97, 2019	19 21 736.55	+12 17 40.55	4750.2	2.24	-1.08	-1.13	
2MASSJ13314691+2804210	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	13 31 46.91136	+28 04 21.0360	4114.6	1.381	-1.08	-1.12	
